,mixed,near_end,far_end1,far_end2,mixed_path,near_end_path,far_end1_path,far_end2_path,near_end_loc,far_end_loc1,far_end_loc2,mic_loc1,room_dim,sample_freq,room_max_order,room_absorption
0,1.wav,FAEM0_1.wav,MGJC0_4.wav,MJRK0_3.wav,./data/mixed/1.wav,./data/near_end/FAEM0_1.wav,./data/far_end/MGJC0_4.wav,./data/far_end/MJRK0_3.wav,"[2, 4, 1]","[14, 7, 3]","[10, 1, 4]","[9, 7, 5]","[15, 10, 5]",16000,3,0.2
1,2.wav,FAEM0_1.wav,MMCC0_2.wav,MPRK0_1.wav,./data/mixed/2.wav,./data/near_end/FAEM0_1.wav,./data/far_end/MMCC0_2.wav,./data/far_end/MPRK0_1.wav,"[9, 1, 3]","[14, 5, 2]","[10, 5, 4]","[13, 10, 3]","[15, 10, 5]",16000,3,0.2
2,3.wav,FAEM0_1.wav,FBAS0_4.wav,MSEM1_2.wav,./data/mixed/3.wav,./data/near_end/FAEM0_1.wav,./data/far_end/FBAS0_4.wav,./data/far_end/MSEM1_2.wav,"[10, 2, 1]","[8, 6, 4]","[3, 2, 2]","[7, 5, 4]","[15, 10, 5]",16000,3,0.2
3,4.wav,FAEM0_1.wav,MTJG0_1.wav,MWAR0_3.wav,./data/mixed/4.wav,./data/near_end/FAEM0_1.wav,./data/far_end/MTJG0_1.wav,./data/far_end/MWAR0_3.wav,"[9, 5, 3]","[6, 3, 4]","[8, 9, 4]","[7, 6, 1]","[15, 10, 5]",16000,3,0.2
4,5.wav,FAEM0_1.wav,FEEH0_3.wav,MRDS0_2.wav,./data/mixed/5.wav,./data/near_end/FAEM0_1.wav,./data/far_end/FEEH0_3.wav,./data/far_end/MRDS0_2.wav,"[9, 4, 3]","[4, 7, 1]","[12, 2, 4]","[5, 1, 1]","[15, 10, 5]",16000,3,0.2
5,6.wav,FAEM0_2.wav,FDXW0_1.wav,FAPB0_2.wav,./data/mixed/6.wav,./data/near_end/FAEM0_2.wav,./data/far_end/FDXW0_1.wav,./data/far_end/FAPB0_2.wav,"[12, 6, 4]","[6, 7, 2]","[7, 8, 4]","[12, 10, 1]","[15, 10, 5]",16000,3,0.2
6,7.wav,FAEM0_2.wav,MJRA0_3.wav,MMSM0_3.wav,./data/mixed/7.wav,./data/near_end/FAEM0_2.wav,./data/far_end/MJRA0_3.wav,./data/far_end/MMSM0_3.wav,"[14, 3, 5]","[7, 6, 3]","[2, 7, 2]","[3, 3, 3]","[15, 10, 5]",16000,3,0.2
7,8.wav,FAEM0_2.wav,MJRH1_3.wav,FJWB1_3.wav,./data/mixed/8.wav,./data/near_end/FAEM0_2.wav,./data/far_end/MJRH1_3.wav,./data/far_end/FJWB1_3.wav,"[10, 3, 2]","[5, 9, 3]","[3, 6, 3]","[8, 8, 5]","[15, 10, 5]",16000,3,0.2
8,9.wav,FAEM0_2.wav,MTPG0_1.wav,FDJH0_3.wav,./data/mixed/9.wav,./data/near_end/FAEM0_2.wav,./data/far_end/MTPG0_1.wav,./data/far_end/FDJH0_3.wav,"[9, 7, 3]","[14, 7, 3]","[3, 3, 4]","[8, 7, 3]","[15, 10, 5]",16000,3,0.2
9,10.wav,FAEM0_2.wav,MMWS1_2.wav,MPMB0_5.wav,./data/mixed/10.wav,./data/near_end/FAEM0_2.wav,./data/far_end/MMWS1_2.wav,./data/far_end/MPMB0_5.wav,"[10, 3, 1]","[13, 10, 1]","[7, 7, 1]","[7, 1, 3]","[15, 10, 5]",16000,3,0.2
10,11.wav,FAEM0_3.wav,FJKL0_2.wav,MGXP0_3.wav,./data/mixed/11.wav,./data/near_end/FAEM0_3.wav,./data/far_end/FJKL0_2.wav,./data/far_end/MGXP0_3.wav,"[13, 7, 4]","[4, 8, 4]","[9, 8, 4]","[4, 7, 2]","[15, 10, 5]",16000,3,0.2
11,12.wav,FAEM0_3.wav,FPAD0_3.wav,MBGT0_1.wav,./data/mixed/12.wav,./data/near_end/FAEM0_3.wav,./data/far_end/FPAD0_3.wav,./data/far_end/MBGT0_1.wav,"[6, 6, 4]","[8, 10, 5]","[14, 3, 1]","[5, 6, 2]","[15, 10, 5]",16000,3,0.2
12,13.wav,FAEM0_3.wav,FSCN0_1.wav,MMWS1_3.wav,./data/mixed/13.wav,./data/near_end/FAEM0_3.wav,./data/far_end/FSCN0_1.wav,./data/far_end/MMWS1_3.wav,"[12, 1, 4]","[3, 3, 1]","[4, 8, 4]","[5, 1, 4]","[15, 10, 5]",16000,3,0.2
13,14.wav,FAEM0_3.wav,FMKC0_3.wav,FCDR1_3.wav,./data/mixed/14.wav,./data/near_end/FAEM0_3.wav,./data/far_end/FMKC0_3.wav,./data/far_end/FCDR1_3.wav,"[8, 4, 2]","[9, 7, 3]","[9, 6, 2]","[5, 10, 4]","[15, 10, 5]",16000,3,0.2
14,15.wav,FAEM0_3.wav,MDDC0_1.wav,FBLV0_3.wav,./data/mixed/15.wav,./data/near_end/FAEM0_3.wav,./data/far_end/MDDC0_1.wav,./data/far_end/FBLV0_3.wav,"[2, 1, 2]","[10, 7, 5]","[2, 7, 1]","[1, 1, 5]","[15, 10, 5]",16000,3,0.2
15,16.wav,FAEM0_4.wav,FSAG0_2.wav,MJDM0_4.wav,./data/mixed/16.wav,./data/near_end/FAEM0_4.wav,./data/far_end/FSAG0_2.wav,./data/far_end/MJDM0_4.wav,"[4, 2, 2]","[3, 6, 4]","[10, 4, 5]","[7, 3, 2]","[15, 10, 5]",16000,3,0.2
16,17.wav,FAEM0_4.wav,MSRR0_3.wav,MTPR0_2.wav,./data/mixed/17.wav,./data/near_end/FAEM0_4.wav,./data/far_end/MSRR0_3.wav,./data/far_end/MTPR0_2.wav,"[12, 10, 1]","[8, 5, 3]","[2, 4, 1]","[9, 5, 2]","[15, 10, 5]",16000,3,0.2
